Username,Comment,vader_sentiment
-,Next one should be 100 couples for 250k that would really test a relationship!,2
-,The Karen twins were just being annoying towards the boys next to them. They need help ,2
@Maximun_official,The Collin twins give me nightmares…,2
@Robojoe1,How did you find so many of them???? ,2
@abigaailramos,these two absolutely deserved it!!!!,2
@helenavidamembrillas5785,The Morris twins deserved it. They were literally saying it was for their parents and only wanted a new fishing rod. I mean how wholesome is that? ,2
@wznq,9:50 You could tell Nolan was already fed up with them ,2
@Insomn,"For the colors, you gotta just have one twin memorize the first half and the other twin memorize the second half, and dont try to memorize colors, try to memorize the first letters of the colors",2
@Claw_on_pawz,18:44 Jimmy’s voice crack I can’t  “quARTer”,2
@iampototo2540,How did they go to the bathroom,2
@krishkore8479,"99 Identical Twins, 2 Identical Karens",2
@MOHAMAD10177,Who remembers Mr. Beast when he dreamed of a million subscribers?,2
@LYNX-X-GAMING,Morris twins deserve this winn ,2
-,grande mr beast que humilde,2
@emmabass5851,im was rooting for the morrises when they talked about there family I thought it was so wholesome,2
@Timelessgt,Bro found 100 clones,2
@SkypperKikarrat,Next video you have to gather a bunch of MrBeast lookalikes and have someone look for the real Jimmy,2
@gamingtime4385,12:35 they're finally out,2
@George58RG,Bro really took his time finding 100 pairs of identical twins,2
@pathaneesomjit7692,"12:46 bye bye ""BOOM"" YAYYYYYYYYYYYYYYYYYYYYY",2
@MIDKNIGHT-sd4pz,Them Morris were just IT.,2
@BannedTv-daily,Bring the Janitor back ,2
@ATLAS.3DIT,How could majority memorize 27 pairs of random flashing colors?,2
@River-z2g,In 3-5 years Mr beast will have 1b subs ,2
@Reysonbaltazar,"Beast, you still owe us three hundred nineteen million cookies...",2
@Mukkundu,18:38 Mr Beast had a voice crack ,2
@debilthefirst,29:30 Why tf Derting twins didn't vote for themselves? I know he couldn't tell him verbally because of the competition around them but a small gesture was enough to let your twin know you have it,2
@НайтиФи,"hi Mr. Beast, you can make a school camp and recruit children there. They will be tested there and points will be given for each test. At the very end, the one with the most points will receive $1,000,000 Imagine 100 children for a month + - they will live in the same camp, many will most likely become attached to each other and it will be very dramatic",2
@boxxy7688,The AI art specialist really shined in this one !!!!1!11!1!!!!,2
@SuperStar98S,12:33 Itni Khushi  Accha Hua Dono Chinar Bahar Ho Gaye ,2
@juanmaldonado7255,Yoooo w Mrbeast ,2
@Stunned_Goose,18:38 mrbeast voice crack,2
@nickfrizzell704,Anyone else notice that at 35:34 there's 2 subscribe buttons because of the twins.,2
@Huseyinguler00,Keep it up the op content,2
@Wolf0fthundR,20:12 the glazing is wild,2
@tycoon7885,How did he even find 100 pairs of twins,2
@Tokciku,"Finally we meet again,BEAST",2
@Esskay57YT,20:50 those twins are too in sync ,2
@MrMayMay,We need more of Chandler ,2
@KingOfChrunch,The Triplets watching this on TV:,2
@Bradyinurcloset,Ngl I would genuinely watch unedited versions of most Mr beast videos,2
@Jad_Belkhadir,"Next up : there is 100 doors and in one of them there is $100,000",2
@มดดี-ฉ5,16:55 hershey…,2
@Brookelikesthings,20:39 “only” ,2
@Brookelikesthings,12:32 YESSS,2
@AdrianRrotlla,How did bro find 100 twins,2
@IkhlassDardour,9:28- the twins Mcdonals ,2
@mystery9640,Anyone else noticed Jimmy's voice crack at 18:43 ,2
@DreamBoySucks,  THE LEGEND CHANDLER IS BACK AGAIN ,2
@Alex-my69,24:42 Karl and Nolan flying?,2
@JoseReyes-yr8iz,26:03 I thought he said the Samsung twins ,2
@copperphilosophy4768,I don’t have a twin ….. but I got a really tall Mirror!! Let’s go Mr.Beast!!! ,2
@Aleksandredoesshorts,6:00 “your voice is going down”,2
@oneshott4047,8:17 I went to school with those kids ,2
@davidmckenzie5,Let’s go the karen twins got eliminated,2
@ruthmedinafernandez1331,Mr beast epicamente,2
@matthewbeaudry6,12:54 chandler sighting,2
@peterjohnstone7867,I wonder if they feed the contestants,2
@Umkpumka,I can't wait until Mr. Beast gets invited to some big video that Mr. Beast couldn't do but I think there's nothing that Mr. Beast can't do for his 300 million subscribers,2
@showManga,35:08 I already knew that because there were only a few minutes left for the video to end,2
@vincestephenmanalo948,"Mr. Beast, I have a suggestion for your next video. My suggestion is to find people based on their age (january 1- december 31)",2
