Username,Comment,vader_sentiment
@nuttysimpsons,bro done cloned them all  how did he get so many twins ,2
@ashoktalan3013,Noone can Beat the Legacy Of Mr Beast ,2
@thecool1oof,I would never be able to remember all those colors. How’d they do it.,2
@GMD_crystallime,12:27 this moment>>>,2
@EidenHernandez-d4p,Hey Mrbeast I am one of your biggest fans,2
@Chip_chip0,"Я так рада что выиграли Мориссы️
Помочь маме и оплатить учебу 3 детям это хорошая цель для победы.
У других были совсем тупые мотивы для победы",2
@WLOX1122,18:16 both of them said they were quick but didn't qualify ,2
@israelthompson5885,"Bro, 8 minutes in and already half of the people are eliminated.

HOW IS THIS VID 35 MINUTES THEN",2
@ninjmaster5609,it must be a nightmare to organize 200 people,2
@Lennox_321,How does bro find 100 twins?,2
@TotallyWa,19:12 They really built the Wii Sports 100 pin game mode in real life-,2
@huyrose2k991,98 pairs of twins on the same video:))),2
@Youareexposed-k1p,Did u see 2 Karens,2
@Najmunnahar-w4l,20:24 in ,2
@hotish1,Clifford knew something that we don't,2
@niranjantuty,7:54 CHANDLER!,2
@vCryl,13:12 should have givin him 10k for that mustache,2
@JaysInside,we splittin up the twins w this one,2
@apblocc,10:20 they got bread tho,2
@MM90-VR,18:44 that voice crack ,2
@ZakiRahal-ro8ns,9:19 who is that,2
@anayasaqib4509,10:06 never let them know ure next move,2
@AmyDy-z1f,21:26 got me rolling on the floor,2
@infamousnagumo,34:42 final boss music,2
@tamilveadhesh4295,"The G O A T
    MR BEAST",2
@ThiagoLeonardelliTube2024,My favourite video is this.,2
@chuw165,3:29 bro he doin too much wit the editin ,2
@courtney8789,Did they get water,2
@-coko-1224,16:46 是非日本にも販売してください,2
@charleerod,"25:21 
the way they were in sync",2
@xochitlbonilla,12:26 LET'S GOOOOOOOOO ,2
@4000idklol,8:26 geometry dash refference,2
@kaelmtz6803,Bro 2:10 they are not superhuman just bc there are twins,2
@Keegan-v8v,"5:42 ""they're corner camping"" ",2
@Ratcoon-Ratcoon,Voice crack at 18:44,2
@parkersperry6904,9:38 THE FOUNDERS OF MCDONALD?!?!,2
@Claw_on_pawz,24:43 bro what are they leaning against,2
@angelsalazar7130,Que bonito el final... ellos se lo merecen!!,2
@razvaknine7,Anyone else notice the thumbnail change?,2
@estarlinpenacarrasco8010,12:20 me encanta esta parte ,2
@sutejbhujbal,Can't buy me to stand against t-series ,2
@wissards,10:01 bro was so random,2
@canebello1712,19:21 bro that's Micah from rdr2,2
@jaisaljoon9656,How can you remember 27 colours…..,2
@Jem-m5pf,You probs wont see this but i think you should do all the zodiac signs compete for money video (just and idea),2
@ClandestinoTVworld,genius ....maestro,2
@SaqibArk,Collins bye bye ,2
@B0b-123h5,11:53 W Indiana university hat,2
@TBONE2710,"14:04 ""ok""",2
@SolarSystemGmng,8:27 geometry dash reference,2
@unu360,Háganle edits a los ganadores del minuto 25:46 ,2
@wekemminyila4792,7:36 why was he moving the tray while saying keep it still when he’s not,2
@rizzTwothousand,10:06 bro,2
@calebemarques6577,19:36 This is Rebecca Andrade!!! (I am Brazilian),2
@BloodEagle33,"7:10 Bonsai, nooooo!",2
@gabrielcuadros131,"19:55 nuevo no creo 
lo se desde hace MESES MR BEAST
aun así es cool",2
@axelorgeret2968,2:02 le doublage français qui régale,2
@PAKGAMINGCR7,SIUUUUUU ,2
@Ohmygosh_11,6:26 Collins is my last name …,2
@rodrigovalenzuela6418,35:08 rubius reference jajaja,2
@T0xicB0nes,Chicken sandwich,2
@luiz_gusta,1:06 BRASIL REFERENCE 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,2
@fanger4696,9:27 mcDonalds,2
@Dex.sports.editz22,3:54 creepy,2
@AksinAbdullayev-q3s,Morrison qazanmağına çox sevindimm,2
@evetszerep9568,Hey MrBeast! You should do a home with strings! If they touch a string they are out!! They wake up with new strings in the house!,2
@yuscilfer1429,"Now this will be hard to fake and most of the contestants are genuine twins, genius move Mr. Beast. Even though some of this might be scripted, so is other shows, the only difference is what show was the most fun.",2
@wiraphonnonkaeo6615,คลิปหน้าเอาแฝด ชาย หญิง มามันสุดยอดมากเรย,2
@bayadfurkan6423,Mr beast bhaiya kabhi hame bhi bula Diya aro,2
@aditrianpermana7628,"If it were in Indonesia, getting hundreds of thousands of dollars would be impossible  ",2
@HPL-FunnyHilariousPeople,“This is why we need robots doing these jobs.”,2
@paydranarvaez7818,Omg I need one of those Narvaez jackets asap!,2
@СергейБарт-Бро,"Я хоть и Русский,но люблю смотреть этого ютубера,красавчик вообще!!!",2
@yuletzicarolinaochoaguzman2486,Hola mistervis soy tu mayor seguidor ,2
@Mehedi_Hasan_Shoyon,How bro gets this kinds of ideas,2
@luxyzedit649,I am in awe of the Morris twins,2
@bokuchanni,26:23日本に行きたいって言ってくれたの嬉しい🇯🇵,2
@Zenthiczy,mrbeast should make his own MOVIE tbh,2
@KittysLIFEIE217,18:51 Ron from Harry Potter ,2
@kikosotoru,I'm your subscriber from indonesian.Hello Mr.Beast,2
@GgHoo-g1n,Bro is just sitting in a quarter a million dollars ,2
@ramonamieres9755,Hello MrBeast️,2
@aberatqwe1,THE METEOR WHEN THE KARENS GOT ELIMINATED IS WILD BRUH,2
@Khaopiyoayshkaro-o7o,Just put the Fries in the bag bro ,2
@Haiyan-r1w,This round  is very very extreme ,2
@LUISMONTERROZA-n6n,grasias MR Beast por los chocolates grasias de millon son los megores chocolates que e prodaso,2
@DKoroh,It's so good!),2
@CircleSoundTV,MrBeast invests a lot in his videos.,2
@BUBBLE-bfb,I WAS ROOTING FOR THEM FROM THE START,2
@mrfumbles865,hey when are we getting a feastables and vapely collab?,2
@Arecatsbetter,As an identical twin I’ve never seen so many in one place,2
@ptv4channel294,mrbeast you still owe me a cookie,2
@TurboCharge-Sport,"Do the participants bathe? Because since they can't get out of the bucket, does that mean they haven't bathed for 3 days?",2
@mrtriplec0,Brother Beast what a video,2
@Lillilo-ng1kv,"Tbh without the captions I could have sworn bro said..."" the Samsung twins...the dirting twins"" ",2
@レンガレンガレンガ,Mr.beastさん頑張ってください！,2
@FazlesEnglish,At last I subscribed MrBeast,2
@문경-c8s,안녕하세요 !  존경합니다 .....,2
@pokukusi437,Clifford twins underrated ngl,2
@JoyaLee-m8i,Imagine remembering 1000 colors ,2
@BlackCriminal-y5c,day 1 collecting signatures for mrbeast to sing money by pink floyd,2
@jedimasterboltsproductions6433,"""Magnificent, aren't they?""",2
@dudus-ny5ew,you should have invited Marcus and Martinus to this,2
@IslamicVoice-p6y,Hi Mr beast I am your new subscriber,2
@ashhgetdatcashh,Do married couples next !!,2
@UNP-sl3je,MrBeast is the best！！,2
@MohammedAlomgir-d8q,My country is Bangladesh.there is no Walmart but I want feastable,2
@ragnarokgamingyt9527,The karen twins are incredible,2
@Brandon-d8c,Carl is back,2
@franzjosefd.bagayawa87,Hi Mr Jimmy Donaldson ,2
@sofiaaburto3537,Me encantan tus vidios,2
@ZofiaGrabowska-r8h,ПЕРВАЯ СЕМЬЯ  ЗА ВЕСЬ  ПРОЕКТ  КОТОРЫЕ НЕ МАТЕРЯТСЯ.  ОЧЕНЬ ДОБРЫЙ ПАПА И ДОБРЫЕ ДЕТИ. Я ВАШЕЙ  СЕМЬЕ  ЖЕЛАЮ УДАЧИ И СЧАСТЬЯ!!!,2
@Dartmonkey-o8h,MR BEAST ALWAYS PREVAILS,2
@tiwari1111,सबको दशहरा की हार्दिक शुभकामनाएं,2
@Helena-ye9ej,Geiles Video mann,2
@ALONE777-short,Subscriber from India🇮🇳,2
@jimmybalakrishnan7945,Yo mr beast i have subscribed to your channel,2
@하지연-z1w,미스터비스트님  너무 멋져요 ,2
@victorj.colmenarezu.5090,"Saludos Cordiales desde Barquisimeto, Venezuela Mr.Beast!",2
@victorj.colmenarezu.5090,Los gemelos Morris merecian Ganar los 250.000$. Pensaron en sus otros hermanos y su Padre! Felicitaciones ,2
@Cavechomperproductions,You should build a bunch of houses for the people in North Carolina because of the hurricane,2
@IsaiasSanchez-go9ed,Been a while since ive seen mr beast/ jimmy Donaldson,2
@Delta_002,make a cookies n crème feastables bar,2
@カカオネコ,ミスタービーストさんの動画が全て面白くて好きです！,2
@Bir_7,Did you forgot your gaming channel ,2
@gustavohuaytacuenta,ESTE VIDEO FUE MUY FUERTE Y EPICO,2
@Inrealpetty,Mr.beast did you make a mr.beast ice cream? Chocolate,2
@monke-x4t,9:05 for the germans ,2
@cheesedog219,mr beast can you do a video rating food from Philippines,2
@Ohdongkuy,왜 한국에서는 일반인 이벤트 안하나요? 전 100일간 버티기 뭐든 다할수있을것 같은데요 ,2
@TsheringTandinYangki,"MrBeast, where the heck did you get that much twins from?",2
@silatama1731,Mr beast try making spectator chairs for 1 dollar to 100 thousand dollars,2
@MrChonchol-3,"I'm new subscriber your channel, I'm meet YOU Mr beast",2
@AngelGabrielleSaraphina-p8h,You should go on shark tank Mr beast,2
@birajgaming207,Mrbeast has bengali audio now,2
@ujjwal5129,Last some days mr beast content is in hindi audio mode  because ge knows india have largest population!,2
@Munixi,"If someone tells you that they will never watch an entire video, know that they don't know mrbeast.",2
@ArceljhonJ.Magbanua,Hi Mr beast I'm big fanfrom Phillipines,2
@RezapratamaReza-l8p,Misterbis aku followers dari Indonesia ,2
@AimanMalik-l1z,"Hey , jimmy I  your videos  i am from India 🇮🇳",2
@ShouryaMehta-b3k,Your new song is out Mr Beast Rizz,2
@shannonwoodling,The Morris twins deserve it,2
@sameraosman9328,J'adore se  genre de vidéo. ,2
@LunaUnlimited,How did they manage to remember 27 colors???,2
@simononghena2915,Make a twins mr beast memory card game,2
@joolz...,"Am I  The only one in the universe that’s not subscribed to Mr beast, ",2
@XLILCUT,We need another post Mr beast ,2
@PriyaDey-shorts,Grande mr beast que humilde,2
@simplelifestyleazmksz.,I mostly watch mrbeast videos ,2
@sirajviews6108,Mr. Beast come to srilanka   ,2
@Joshua-hn2jj,Can I pliz get into your YouTube challenge pliz Mr beast my fam is broke and l am 15 by the way l stay in Africa Zimbabwe like your videos by the way,2
@OctiGames_official,incredible video,2
@KyKyga,"О боже, я так счастлива за Морисов",2
@mshalima6299,I am from Bangladesh ,2
@Ana-qb6wm,Me gusta tu contenido lo veo por mis sobrinos me gustó mucho que ayudas a las personas que lo necesitan y más a tus suscriptores Felicidades y Bendiciones!,2
@Reina-vt1cj,"Hi,انا ريناد من العرب بحب فديوهتك شديددد",2
@ALVIN02858,Oh Mr beast is the goat of the game,2
@JB-ou5jz, Мистер Бист - Это самый вкусный шоколад,2
@Trueleafseeds-d6y,Yo MrBeast,2
@barrysaxton31,If you wanna give away a car give me one I don't have any,2
@muebleslinovazquez2552,i loveeeeeeee feastables,2
@Jamie_972,w video as always,2
@NguyenThiHien-vm9os,"Mr Beast hay James Stephen ""Jimmy"" Donaldson, bạn giàu có quá, chúc mừng bạn nhé.",2
@nathalieurrutiaaraya3339,Algún día tendré suerte ,2
@bilalk00,CR7 ️,2
@shotnatv4090,"Where did you find that many twins 

Watching from Philippines ",2
@AbelVielma-e8b,Está muy bueno mrbeast ,2
@LimonMahmudOfficial,MrBeast 🇧🇩,2
@Aldocooerfc,"if you put me in a video, I will give YOU a cookie",2
@MaximMueh,Gutes und cooles Video,2
@jonnabelpadua55,i lovit thaks,2
@yapper17,W Video!,2
@대한민국-e7k,다음에는 초능력배틀이요 제발요,2
@앤티몬,한국인 구독자입니다,2
@MiguelMartinez-cr4ju,Me encantan tus videos,2
@Enderboy3280,I have bought your feastebale chocllate .Im germany,2
@FlameBreather---FB,do 1$ zoo vs the biggest zoo on the planet,2
@tiffanycrowley8922,I know who you are Jimmy donaldson,2
@Fepone_KO,"Mr beast, can you also sell feastables in China?",2
@ewg-dasa,0:48 Yo chill!,2
@Ori_lucu,Mark really become mr beast member?,2
@GGBrosinChennai,Iam new subscriber ,2
@MikeReyes-r1x,What happens if they got tied,2
@filipmatavega,Y yo queriendo aun quesea q me regale una moto estaría de fabula me encantan sus videos,2
@miacastellanos1416,"MrBeast, I got your chocolate",2
@thallysonwendell9727,OI MR BEAST VOCE E MEU IDOLO E SOU BRASISEILO TE AMO MR BEAST,2
@casino531,Hi,2
@MikaAze-d5v,みんなわミタービースト好き？,2
@BrendelMank,W video ,2
@AdrianaLondono-rw9mz,"Hola somos de Colombia ya nos suscribimos, que suerte seria ganar nos cambiaría la vida ",2
@btsforever-dc9lh,I would get eliminated at first no joke,2
@MaduraPriyantha-ef1pk,WAW,2
@SgOkor11,paint the house using a helicopter,2
@Bemeebeth_the_boba_lover,"Hello, Jimmy Donaldson.",2
@ไทเกอร์แมวบ้านๆ,ลูกชายผมดูวีดีโอคุณตั้งแต่เด็กตอนนี้ ม.3แล้วยังดูอยู่ทุกวัน,2
@BrillithBrizuela,Te quiero misterbis  amo tus vídeos los veo todos tus vídeos ,2
@Ha1var,Next video: 200 redheads competing for a lifetime supply of sunscreen,2
@MRkiklo,All Pakistani fans vote for mrbeat tour in Pakistan now ,2
@anviguru6090,"14:14 the guy ""shld i yell red"" loll",2
@easywaytolearngeeta,You are genius mr beast,2
@Руслан-х8й1ы,Хочу переехать в Америку чтоб кушать фистеблс,2
@UpcomingGrunt,FIVE DOLLARS FOR THAT LITTLE  BOX,2
@esinkarakurt1183,Mrbeast give my cookieeee,2
@nikolina010,Zanimljivo,2
@doubleD-tr3oc,Damn...3rd and 2nd place got none...,2
@joygaming33333,I'm also Mr beast subscriber. I don't think so I will complete even 100k subscriber's ,2
@champapaksong,มันสุดยอดมากเลยเกมส์โชว์สนุกสนานมาก,2
@Willaims-v6m,I subscribe but where is my cookie ,2
@amirshaikh-cz3de,awsome,2
@brookmercer6454,You were at a boxing match Mr beast and Trump and his wife!,2
@RANDOMGUY-z1n,"i just subbed, can i get a cookie?",2
@Brittany2026,I KNEW TH MORISSES HAD MONEY,2
@kirantr9873,World's fastest player Messi,2
@Милка-н,Это хорошие видео мистер бист,2
@AnhTrần-l1t,Ước gì anh mrbeat đến vietnam,2
@Sjjshsjmwmsmsmmznxnxnxnxnxn,Impressionante,2
@lilymorales833,Mrbest eres increible,2
@Savvy2538,26:20 stoked twins?,2
@AsMulheresMaisLindasdeAngola,Eu sou Angolana 🇦🇴 e amo você,2
@MostFlost,I was routing for Morris and Tobin,2
@Hamid-Mohib,Mr Beast!,2
-,-,2
@junioracero579,I want to participate. I'm not afraid of any challenge. I've been through worse things. I'd like to participate in a video.,2
@Wyattl.,Just put the fries in the bag bru,2
@BetaMaximus-k7s,319 millions subscribers,2
@grfamilyvlog4959,I am form Bangladesh ️️️🇧🇩,2
@Keilethfachero,Hola buenas tardes ,2
@PoasterTheGamer,I subscribe where is my cookie,2
@Mee-fw5lk,كانو يستحقون الفوز ,2
@SemraSonmez-vy7yg,Sırbistan seni çok seviyorum iyi ki varsın ama bir şey istedim galiba seni çok seviyorum,2
@asashik2468,মিষ্টার বিস্টের ভিডিওর জন্য অপেক্ষা করি ,2
@SamanLiyanaarachchi-ut4ev,My favourite  ,2
@amandasoares3314,Pode manda um abraço pros seus fãs do Brasil 🇧🇷 ,2
@Regina-cu8qq,Hola me saludas ,2
@Sanbatcavlog,"Thật tuyệt vời,  chúc các bạn thật nhiều sức khỏe 
Tôi rất vui khi được tương tác cùng các bạn ",2
@maidinsydney,Deserved ,2
@21blackjackmelbet17,Хочу поучаствовать в твоем видео  И выиграть хотя бы 10000₽ ,2
@pabnarraja,Brother give me a job ,2
@skylernix7080,5:45 lmaoooo,2
@Tala2012Barom,ليش ما جاب راكان و ريان او اما وحسنى الفيديو بيكون اسطوري ,2
@Gonzokmax23zdf3fcd8w,Puede ayudar a mi abuelo el tiene una enfermedad que se llama parquinson  es incurable  ayudado porfavor hoy es su cumpleaños cumple 73 año porfavor ayudalo somos de nicaragua ,2
@TanjimulBadhan,Assalamualaikum sir.,2
@aaalll6896,The beast lake his name  ,2
@atifbeigh6717,Bhai ...Come to India...,2
@AhamadulhaquelasibLasib,Iam watching from Bangladesh,2
@MOSTAKBABUFUN05,অসাধারণ একটি ভিডিও ভাইয়া,2
@waisnabizada-dd1jq,سلام من احمد ویس استم از افغانستان خیلی دوست دارم که در مسابقات میستر بیست اشتراک کنم ,2
@LemanRahmat,"Hai mr beast
Saya dari Indonesia",2
@GeraldineLinares-m3r,Today I tried chocolate ,2
@ayanmandal-uv2dk,Today is my birthday ,2
@patrickalvesdosanjos2638,Chama eu mrbeasttttt,2
@shabazansari9830,Bhai Tum badi laki kismat wale ho ,2
@f4q755,Мистер бист сделайте видео по чкибиди туалетам где бедные скибили туалеты защищают от злых камерменах,2
@WasanthaSenadheera-c7z,Mr beast can you come to sri lanka ,2
@JimmyJohnson-p1p,Beast beast,2
@kumlongs9393,Give me chocolate ,2
@mohammedyoussef875,-,2
@خالدكعيد-ت6ت,أنت شخص رائع لكن اعطي الفقراء هنا في سوريا وأنا منهم,2
@SLAP_GUIDE,전 처음부터 모리스 형제를 응원 했어요 ,2
@紅魔館組大好きレミフラ推し,あのおばあちゃん可愛いし好きだな,2
@WesleiDeSouza-z9z,"Me. Beast sou do Brasil, quero participar do seu desafio vem pra aqui, pro Brasil",2
@fuerzaforza3093,Aca en tijuana mexico queremos esos regalos,2
@ARSAmusicOfficial,How did you find THAT MANY TWINS,2
@jaxsoncrayk9853,Mr beast I have your beast lab,2
@NOTANKUSH1,Thankyou for 1 subscriber ,2
@HeatherBrauer,Yasss,2
@Uriel_The_Kitty888,dam he got 86m views in 12 days,2
@KyzaFunChannel,How did they find so many twins,2
@ronnelmosqueda9383,give me feastables,2
@LômHồVăn-r6j,"Make a new example, bro. ",2
@محمود-ط2ل1ش,الاسلام هو الدين الصحيح لا تنسو الصلاه على النبي محمد صلى الله عليه وسلم,2
@DevilImira,"еще ,когда они кубы складывали.я уже хотела ,чтоб они победили",2
@Jinxdorson-dl1jz,"$250,000 bro",2
@sicktick1872,0:25 I thought it was a mirror,2
@HolaDaniel-t8o,@MrBeast pasa por el Perú a reclutar también ,2
@shihabuddinakash893,"যদি সম্ভব হয়, তবে আমাকে ডাকুন ৩৬৫ দিন ১ টি বাড়িতে থাকার চ্যালেঞ্জ এর জন্য।  একজন বাংলাদেশিকে কি সুযোগ দিবে না।  বাংলাদেশে আপনাকে আমন্ত্রন জানাই। ️️",2
@ChristianOmongos-b6s,Slayyy,2
@harikange,Kisi chalenge me mujhe bhi lo,2
@JuanFigueroa-wh7ou,Te amo mucho ,2
@Flixed1tz,Hello jimmy Donaldson.,2
@erikabeilharz7337,i am from Germany,2
@TulsiKumarSidar,How is watching from india 🇮🇳,2
@jsennassr1097,"Los morris se lo merecían,muchas felicidades ",2
@Oskar-AlexanderRost,Hallo MrBest,2
@AshokKumar-jl8nd,Make video from cheap to expensive ship ticket,2
@celiaferreira5023,Bom dia Beast  sou do e eu amo suas atitudes .e seu coração puro  .,2
@AdamSahm-q2c,انا اجيت عشان لايك لا امزح انه فديو رائع جدا جدا,2
@jafarpanahi-xr3gs,MrBeast can you amake a pen of mrbeast but an erasable one,2
@RicardosebastianAcosta-tt1bt,Te.amo,2
@rutkaydoyuk8312,"Your chocolate is very expensive in Turkey, my child wants it, I can't buy it",2
@Grace-pp7pd,i see mack in mr beast in new video,2
@MalickCisse-bc2js,Je veux faire parti de tes videos 🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳,2
@EPIC_HvK,cooool,2
@ahmedelkasas2744,نفسي اشارك معاك والله ,2
@Wong-deso.channel9999,Nyimak bos mantap dari Indonesia  ini,2
@TyroneulanCREATIVETECH,18:43 voice crack,2
@LearnArabic-sinawy,أحسنتم ,2
@bhargava8778,12:38 Helll yah,2
@michuraro,Me encantan tus videos. Dame un reto online para que me saques un poco de esta ruina desde Bogotá saludos amigo,2
@AshokKumar-jl8nd,Make video from cheap to expensive while ticket,2
@ぬまはた誠,日本に来てくれたら嬉しい,2
@Iquit-j6z,Hello jimmy Donaldson,2
@HassanAlissa-nn2po,انا اتمنى اطلع معاك على اليوتيوب بس انا المشكله انه عايش بولندا,2
@TABIM4EVA,Plenty of twins in perth West Australia 🇦🇺   should do another one in W.A!,2
@ajakaiyejohn3210,Squid game vibe,2
@Joy9xmals,বাংলা ভাষাতে কে কে শুনতেছো এই ভিডিওতে ,2
@cristianotazje7407,Did nobody had to pee?,2
@alexxx-e3c,ingin rasanya dapat giveaway samsung dari mr beast,2
@cristoanuar1392,Mr beast soy de México mi sueño siempre a Sido una cuatrimoto me la podías comprar porfavor ,2
@minhlh-s,Thử thách không đơn giản ,2
@VentasDistribuidoraProcultimar,Holaaaaa ,2
@VlogTalenter,Main bhi yahi chahta tha yahi jeene chahie  Maharshi jitna chahie,2
@Amirahlaki,،سلام مستر خوبی امیدوارم که خوب باشی,2
@PoasieSaviadjuk-s8m,Hey MR Beast do a griddy in the next video just for content,2
@أحمدالبغدادي-ت8ن,أنا مشترك جديد لديك أين قطعة الحلوى ههه,2
@narcisalucas,Hola mikecrack me llamo Sofía cedeño mrbeast te amo,2
@Rptalks999,"Mr beast lm from india,,",2
@IVE원영이,제발 한국 버전도 만들어 주세요 그리고 제발 한국에 와 주세요,2
@dawooddawood-cy4db,Messi the goat,2
@DuyNguyen-dv4tv,Tuyệt vời. !,2
@susanagarcialozada573,Mister bist a las español?,2
@Danielito-z6z,Oye yo quiero chocolates ,2
@gmailjavie,Me alegraria que me regalaras un supra ese desafio te pusiera y yo fuera mas que feliz,2
@majarulislam8200,When we can get festebals in Bangladesh,2
@Nyllmakulit,Hey guys real mrbeast name is Jimmy donaldson,2
@hao1912,"Hello mrbeast ,i’m 14 yo .Can you give me a piano?️",2
@Kelebogile_phokoane,Srsly need a Phone ,2
@claudiastrey8371,Me Germany,2
@Chotveerhow,I live in Pakistan 🇵🇰,2
@randompersoninthisworldidkmyla,day 1 of trying to get 100 subcribers by chatting,2
@AmineBahri-cq4tn,أحبك,2
@Hromarka20,Mr beast l  you,2
@HussienaliAlseedy,اريد المشاركه في التحديات,2
@delixx5893,And my birthday is October 13th,2
@Sengyusieng,I spent $52 on your chocolate,2
@sweetfamily7550,"Hi jimi how r u I am riju  My age10years
I Mr beats
I am Indian 
Your Festibel cokolet ami ki Pete pari ",2
@Fc_prosu,"#mrbest come to Azerbaijan, Bakuye, there is a place called Bulvar, go there, I will come",2
@AdemCalı-k3y,Merhaba 🇹🇷Türkiyeden selamlar yarışmanıza Bende katılabilirmiyim teşekkürler ,2
@ぎょうてい-t3r,日本へようこそ！,2
@IvanChung-i7h,My is to be in one of your videos mr beast but I live in Taiwan ,2
@arjohntorino,I want that festable but i dont live in us,2
@TransitNorthFan,Hello jimmy ,2
@HazrieyAiman,Mr beast buy mall plssssssssss,2
@AustinOfori,Jesus is coming soon guys repent ️,2
@Shafiul-5075,Subscribe now ,2
@ГузальДжетибаева-л5о,Здравствуйте Мист Бист вы можете помочь построить теплицу я живу в Казахстане хотела у вас попросить помощи построить теплицу мне в доме что я смогла осуществить свою мечту прошу помогите!,2
@MohdAffan2018,Hi jimy i am from India kashmir iam 7yeaes old I am  watching your all videos,2
@HzhTon,Subscribe,2
@gfdhfhdg,goud vibes,2
@mdshahabuddin3674,Aaj Mera birthday hai but o subscribe hai ,2
@Evan-s-amaru,I am in GABON,2
@RefugioFierro-k5j,Regalame algo saludos desde  Puebla Mexico,2
@businessopportunity2418,Hi mr breast i am from Pakistan,2
@ajduddl2,한국에서 가서 도전하고싶네요,2
